down_level,test_exact_match,test_correct_percent,test_unparse_type_errors_percent,test_unparse_value_errors_percent,test_proglen,test_total_miss,test_incomplete_miss,test_incomplete_progcount,test_group_miss,test_first_miss_depth,test_first_miss_pos,test_tail_label_tokens_count,test_tail_predictiton_tokens_count,test_shorter_count,test_longer_count,test_samesize_error_count,test_bleu,test_chrf,test_CodeBLEU,seed,timestamp
1.2,0.16666666666666666,0.3333333333333333,0.0,0.0,369.45454545454544,8550,7829,15,1533,2.981818181818182,-8.727272727272727,227,7487,4,36,15,0.9190168087956818,93.47877923178278,0.8741282291652264,113,2023-01-27 08:57:31.901222
1.2,0.16666666666666666,0.3181818181818182,0.0,0.0,347.2121212121212,7216,6517,13,1060,3.3636363636363638,-0.9272727272727272,296,6088,5,32,18,0.9200675609718236,93.30985081936925,0.8733988269538325,313,2023-01-27 10:23:23.249725
1.2,0.15151515151515152,0.2878787878787879,0.0,0.0,368.07575757575756,8496,7684,15,768,3.25,1.2142857142857142,273,7442,4,40,12,0.9257537078512801,93.80048023699834,0.8764058953395152,349,2023-01-27 11:47:04.724316
1.2,0.15151515151515152,0.3181818181818182,0.0,0.0,374.56060606060606,8811,8215,16,1707,3.2857142857142856,-1.9285714285714286,149,7746,2,38,16,0.9146985852662355,92.91670220715027,0.8646495140437054,509,2023-01-27 13:09:42.029014
-0.2,0.24242424242424243,1.0,0.0,0.0,189.6818181818182,5850,0,0,1794,4.68,29.66,4706,101,37,6,7,0.7281107255447535,79.41435834549945,0.7322549918781304,17,2023-01-27 14:31:50.185304
-0.2,0.2878787878787879,1.0,0.0,0.0,205.37878787878788,5153,0,0,1695,4.76595744680851,29.93617021276596,3637,68,34,6,7,0.7618461948979554,81.46627406302972,0.7643294120301752,113,2023-01-27 15:54:46.664978
-0.2,0.24242424242424243,1.0,0.0,0.0,194.56060606060606,5862,0,0,1860,4.64,25.96,4386,103,37,7,6,0.7335860063790715,79.4076331743029,0.7382527057838906,313,2023-01-27 17:18:56.034411
-0.2,0.30303030303030304,1.0,0.0,0.0,193.5909090909091,5483,0,0,1665,4.6521739130434785,29.108695652173914,4414,67,37,5,4,0.7443712998575632,80.42483666426071,0.7460956083047214,349,2023-01-27 18:43:14.679613
-0.2,0.2878787878787879,1.0,0.0,0.0,189.72727272727272,5751,0,0,1775,4.74468085106383,27.404255319148938,4657,55,37,4,6,0.726776090588922,79.18927215125625,0.7349852632255565,509,2023-01-27 20:07:39.564723
0.85,0.2878787878787879,0.5606060606060606,0.0,0.0,212.12121212121212,5510,0,0,1694,4.74468085106383,29.19148936170213,3717,593,30,11,6,0.7802396648237765,83.92126340752985,0.7597607315675348,17,2023-01-27 21:31:51.055144
0.85,0.2878787878787879,0.5303030303030303,0.0,0.0,198.4090909090909,5534,0,0,1788,4.9787234042553195,33.42553191489362,4136,107,35,7,5,0.7591958208559906,82.51072738950901,0.7407799794520346,113,2023-01-27 22:56:11.465093
0.85,0.2727272727272727,0.5303030303030303,0.0,0.0,198.77272727272728,5463,0,0,1753,4.916666666666667,29.9375,4129,124,33,10,5,0.7630677762866189,82.6930098776084,0.7427757564987414,313,2023-01-28 00:19:59.170075
0.85,0.2727272727272727,0.5,0.0,0.0,199.16666666666666,5491,0,0,1763,4.916666666666667,25.041666666666668,4102,123,34,10,4,0.7613173906054256,82.62452770735482,0.745444027157276,349,2023-01-28 01:42:05.536829
0.85,0.3181818181818182,0.5303030303030303,0.0,0.0,200.13636363636363,5340,0,0,1747,4.977777777777778,31.57777777777778,4021,106,33,8,4,0.7713104801054634,83.3100643048887,0.751501744065279,509,2023-01-28 03:05:44.224947
0.975,0.3181818181818182,0.3787878787878788,0.0,0.0,209.1060606060606,4233,0,0,1224,4.955555555555556,29.066666666666666,3437,114,29,13,3,0.9202966745819341,93.28011848670629,0.8730523171420949,17,2023-01-28 12:38:22.917820
0.975,0.3181818181818182,0.3939393939393939,0.0,0.0,218.25757575757575,4631,565,1,1392,4.933333333333334,27.68888888888889,3338,619,31,8,6,0.9192932412338198,93.15742102546973,0.8864929960897047,113,2023-01-28 14:02:10.028051
0.975,0.25757575757575757,0.3484848484848485,0.0,0.0,207.72727272727272,5194,0,0,1489,4.673469387755102,22.306122448979593,3994,580,35,7,7,0.9171045927536884,92.8803809148119,0.8706885726977963,313,2023-01-28 15:26:11.425670
0.975,0.21212121212121213,0.36363636363636365,0.0,0.0,200.9090909090909,4694,0,0,1374,5.1923076923076925,32.25,3913,49,35,12,5,0.9054775423140329,92.02385574552581,0.8538763873945892,349,2023-01-28 16:48:13.994218
0.975,0.22727272727272727,0.3333333333333333,0.0,0.0,250.36363636363637,6192,2358,4,2064,4.921568627450981,28.705882352941178,2967,2367,28,15,8,0.9057330511549877,92.31956095130211,0.8606762349586118,509,2023-01-28 18:12:14.213291
1.1,0.19696969696969696,0.3484848484848485,0.0,0.0,407.8333333333333,12953,11310,19,7511,4.7924528301886795,26.132075471698112,1300,11093,16,24,13,0.9431957104130932,94.83117108774914,0.9236699724261314,17,2023-01-29 02:31:01.829494
1.1,0.21212121212121213,0.3333333333333333,0.0,0.0,443.8030303030303,14297,13272,23,7887,4.403846153846154,19.76923076923077,749,12916,11,26,15,0.9407544296717014,94.80542660432715,0.9190724237008958,113,2023-01-29 03:53:30.646944
1.1,0.19696969696969696,0.30303030303030304,0.0,0.0,450.93939393939394,15521,14057,24,7701,4.566037735849057,22.528301886792452,1145,13783,11,29,13,0.9416459487606365,94.70780287610043,0.9111599846161189,313,2023-01-29 05:15:39.622292
1.1,0.21212121212121213,0.3484848484848485,0.0,0.0,424.77272727272725,14162,12519,21,8787,4.1923076923076925,17.173076923076923,1360,12271,15,23,14,0.9453293946421983,94.95190522607811,0.9170632393232416,349,2023-01-29 06:39:19.851498
1.1,0.22727272727272727,0.4090909090909091,0.0,0.0,428.25757575757575,13063,12069,20,5810,4.470588235294118,16.372549019607842,644,11785,13,24,14,0.9407401712722964,94.67103275892173,0.9210219174724539,509,2023-01-29 08:01:16.584449
